Date,Open,Max,Min,Close
2009-12-10,17.4,17.55,17.125,17.415
2009-12-11,17.413,17.612,16.917,17.165
2009-12-14,17.16,17.4,17.06,17.4
2009-12-15,17.399,17.48,17.112,17.405
2009-12-16,17.415,17.772,17.316,17.705
2009-12-17,17.706,17.79,17.075,17.14
2009-12-18,17.139,17.372,17.08,17.27
2009-12-21,17.285,17.495,16.955,17.03
2009-12-22,17.031,17.165,16.762,16.98
2009-12-23,16.981,17.229,16.847,17.115
2009-12-24,17.112,17.51,17.022,17.485
2009-12-28,17.55,17.655,17.432,17.51
2009-12-29,17.508,17.53,17.055,17.105
2009-12-30,17.106,17.17,16.75,16.817
2009-12-31,16.816,17.096,16.776,16.875
2010-01-04,16.89,17.582,16.84,17.575
2010-01-05,17.576,17.868,17.492,17.78
2010-01-06,17.778,18.228,17.735,18.2
2010-01-07,18.197,18.37,18.045,18.227
2010-01-08,18.229,18.5,18.032,18.48
2010-01-11,18.46,18.897,18.46,18.575
2010-01-12,18.568,18.803,18.147,18.277
2010-01-13,18.278,18.647,18.17,18.625
2010-01-14,18.63,18.73,18.37,18.665
2010-01-15,18.667,18.682,18.385,18.41
2010-01-18,18.317,18.682,18.317,18.635
2010-01-19,18.635,18.85,18.455,18.75
2010-01-20,18.76,18.855,17.795,17.875
2010-01-21,17.889,18.06,17.335,17.415
2010-01-22,17.416,17.52,16.875,17.03
2010-01-25,17.045,17.275,16.975,17.15
2010-01-26,17.149,17.266,16.335,16.755
2010-01-27,16.753,16.963,16.415,16.575
2010-01-28,16.576,16.762,16.015,16.267
2010-01-29,16.264,16.358,16.021,16.205
2010-02-01,16.117,16.727,16.095,16.661
2010-02-02,16.66,16.816,16.545,16.705
2010-02-03,16.71,16.948,16.275,16.375
2010-02-04,16.375,16.426,15.185,15.261
2010-02-05,15.248,15.386,14.653,15.165
2010-02-08,15.16,15.325,14.945,14.955
2010-02-09,15,15.597,14.977,15.45
2010-02-10,15.447,15.653,15.085,15.215
2010-02-11,15.212,15.736,15.175,15.66
2010-02-12,15.659,15.747,15.21,15.535
2010-02-15,15.535,15.652,15.455,15.545
